module	CG07_land_8_20_14_0_80_42_17	CG1_02_42_14	JGI_0000039_J10	Shark_Bay_71	SURF_5	SURF_17	ADurb_Bin101	ADurb_Bin170	UBA6118	UBA2224
M00849	0.1875	0.1875	0.14285714285714285	0.14285714285714285	0.3125	0.3125	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285
M00854	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666
M00855	1.0	0.75	0.5	0.5	1.0	0.75	0.75	0.75	0.75	0.75
M00860	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0
M00866	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.7777777777777778	0.8888888888888888	0.8888888888888888	0.8888888888888888
M00868	0.75	0.625	0.125	0.375	0.375	0.625	0.5	0.75	0.75	0.625
M00873	0.25	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.25	0.25
M00874	0.4166666666666667	0.4166666666666667	0.16666666666666666	0.16666666666666666	0.4166666666666667	0.4166666666666667	0.16666666666666666	0.16666666666666666	0.4166666666666667	0.4166666666666667
M00878	0.0	0.0	0.14285714285714285	0.14285714285714285	0.42857142857142855	0.5714285714285714	0.2857142857142857	0.2857142857142857	0.42857142857142855	0.2857142857142857
M00880	1.0	1.0	0.0	0.0	1.0	1.0	0.8	0.25	0.0	0.0
M00881	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00882	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00883	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00884	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00892	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.5	0.5	0.5	0.3333333333333333	0.5	0.5	0.5
M00895	0.3888888888888889	0.5	0.5	0.6111111111111112	0.5	0.5	0.4444444444444444	0.6111111111111112	0.6111111111111112	0.6111111111111112
M00896	0.4	0.6	0.6	0.8	0.6	0.6	0.6	0.8	1.0	0.8
M00897	0.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00899	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666
M00909	0.6	0.6	0.6	0.4	1.0	0.8	0.4	0.6	0.8	0.8
M00911	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.3333333333333333
M00912	0.375	0.5	0.375	0.25	0.5	0.625	0.5	0.375	0.5	0.5
M00913	0.4	0.6	0.6	0.2	0.6	0.6	0.6	0.6	0.6	0.6
M00914	0.2857142857142857	0.42857142857142855	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855
M00919	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
M00923	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00924	0.16666666666666666	0.16666666666666666	0.0	0.16666666666666666	0.09090909090909091	0.25	0.0	0.0	0.25	0.16666666666666666
M00925	0.09090909090909091	0.09090909090909091	0.0	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.0	0.0	0.09090909090909091	0.09090909090909091
M00926	0.8888888888888888	0.6666666666666666	0.2222222222222222	0.4444444444444444	0.4444444444444444	0.7777777777777778	0.5555555555555556	0.8888888888888888	0.8888888888888888	0.7777777777777778
M00930	0.5	0.5	0.0	0.0	0.6666666666666666	0.6666666666666666	0.0	0.0	0.0	0.0
M00931	0.6	0.6	0.0	0.0	0.6	0.6	0.0	0.0	0.0	0.0
M00932	0.0	0.0	0.4	0.4	0.14285714285714285	0.14285714285714285	0.4	0.7	0.7	0.7
M00935	0.0	0.0	0.0	0.0	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0
M00938	0.9	0.9	0.6	0.6	0.9	0.9	0.8	0.8	0.8	0.6
M00947	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0
M00948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333
M00950	0.75	0.75	0.0	0.75	0.75	0.75	0.25	0.25	0.25	0.25
M00953	0.0	0.2	0.2	0.0	0.2	0.2	0.2	0.2	0.2	0.2
M00956	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.0	0.14285714285714285
M00957	0.1111111111111111	0.1111111111111111	0.3333333333333333	0.4444444444444444	0.2222222222222222	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.3333333333333333
M00958	0.8333333333333334	0.8333333333333334	0.5	0.75	0.5	0.75	0.75	0.75	0.75	0.75
M00959	0.5833333333333334	0.5833333333333334	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5
